experiment,number_of_games,switched_games,switched_win_games,not_switched_games,not_switched_win_games
batch-1549068168162,100,48,32,52,17
batch-1549068171382,100,45,32,55,20
batch-1549068172601,100,46,34,54,16
batch-1549068173744,100,51,37,49,14
batch-1549068175015,100,51,33,49,22
batch-1549068176418,100,56,36,44,21
batch-1549068177536,100,49,35,51,17
batch-1549068178624,100,59,36,41,19
batch-1549068179714,100,44,32,56,20
batch-1549068180797,100,48,33,52,22
batch-1549068181889,100,50,32,50,23
batch-1549068182953,100,55,40,45,7
batch-1549068184017,100,47,38,53,18
batch-1549068185252,100,50,40,50,17
batch-1549068186739,100,52,39,48,16
batch-1549068187806,100,59,36,41,14
batch-1549068188859,100,50,31,50,15
batch-1549068189940,100,48,36,52,15
batch-1549068190991,100,44,33,56,17
batch-1549068192054,100,53,36,47,14
batch-1549068193123,100,53,37,47,10
batch-1549068194208,100,46,34,54,12
batch-1549068195381,100,50,34,50,21
batch-1549068196426,100,56,43,44,13
batch-1549068197481,100,58,32,42,13
batch-1549068198531,100,48,28,52,14
batch-1549068199604,100,56,41,44,11
batch-1549068200719,100,52,30,48,15
batch-1549068201776,100,46,30,54,20
batch-1549068202843,100,53,28,47,18
batch-1549068203901,100,57,36,43,11
batch-1549068205356,100,53,33,47,23
batch-1549068206557,100,53,38,47,15
batch-1549068207632,100,52,35,48,13
batch-1549068208690,100,41,22,59,21
batch-1549068209761,100,42,33,58,18
batch-1549068211329,100,52,35,48,13
batch-1549068212513,100,53,29,47,14
batch-1549068213621,100,48,29,52,22
batch-1549068214708,100,47,29,53,15
batch-1549068216028,100,45,35,55,19
batch-1549068217101,100,46,30,54,19
batch-1549068218308,100,51,33,49,16
batch-1549068219480,100,47,34,53,12
batch-1549068220657,100,47,37,53,15
batch-1549068221867,100,56,37,44,12
batch-1549068223373,100,51,33,49,19
batch-1549068224524,100,53,37,47,13
batch-1549068225693,100,52,31,48,17
batch-1549068226868,100,50,34,50,16
batch-1549068228026,100,49,32,51,15
batch-1549068229120,100,62,42,38,16
batch-1549068230310,100,52,33,48,10
batch-1549068231433,100,54,34,46,9
batch-1549068232508,100,48,35,52,16
batch-1549068233619,100,58,37,42,9
batch-1549068234694,100,52,37,48,18
batch-1549068235806,100,49,36,51,14
batch-1549068237045,100,55,36,45,20
batch-1549068238508,100,48,33,52,11
batch-1549068239891,100,51,35,49,15
batch-1549068241178,100,59,44,41,14
batch-1549068242480,100,56,30,44,13
batch-1549068243596,100,46,28,54,15
batch-1549068244798,100,51,35,49,17
batch-1549068245962,100,43,31,57,20
batch-1549068247138,100,45,28,55,19
batch-1549068248234,100,53,33,47,11
batch-1549068249399,100,56,30,44,12
batch-1549068250554,100,45,29,55,12
batch-1549068252314,100,45,26,55,23
batch-1549068253392,100,53,37,47,14
batch-1549068254466,100,43,27,57,21
batch-1549068255555,100,49,32,51,22
batch-1549068256682,100,44,29,56,24
batch-1549068257814,100,47,35,53,19
batch-1549068259013,100,54,41,46,17
batch-1549068260212,100,48,36,52,19
batch-1549068261327,100,52,31,48,15
batch-1549068262438,100,47,35,53,20
batch-1549068263585,100,51,33,49,18
batch-1549068264722,100,62,41,38,16
batch-1549068265830,100,55,41,45,18
batch-1549068267020,100,50,36,50,17
batch-1549068268477,100,56,34,44,10
batch-1549068269582,100,50,37,50,11
batch-1549068270657,100,50,33,50,17
batch-1549068271797,100,49,28,51,15
batch-1549068272927,100,56,32,44,15
batch-1549068274061,100,54,38,46,10
batch-1549068275263,100,52,39,48,15
batch-1549068276808,100,52,36,48,14
batch-1549068277957,100,48,27,52,18
batch-1549068279136,100,49,31,51,19
batch-1549068280282,100,45,22,55,13
batch-1549068281480,100,50,32,50,20
batch-1549068282599,100,42,34,58,19
batch-1549068283652,100,47,35,53,16
batch-1549068284753,100,47,29,53,19
batch-1549068285855,100,49,31,51,21
